start_bp	end_bp	ancID	childID
40603727	48317680	1	1207
48317680	48540388	2	1207
48540388	50329000	1	1207
50329000	50963750	2	1207
50963750	56827612	1	1207
56827612	57162769	2	1207
57162769	58336624	1	1207
58336624	58835321	2	1207
58835321	59908477	1	1207
59908477	62296032	2	1207
62296032	63468468	1	1207
63468468	63479638	2	1207
63479638	63738409	1	1207
63738409	64100007	2	1207
64100007	66946636	1	1207
66946636	69189908	2	1207
69189908	72634646	1	1207
72634646	73995143	2	1207
73995143	75293646	1	1207
75293646	80309294	2	1207
80309294	80681508	1	1207
80681508	81758886	2	1207
81758886	82688688	1	1207
82688688	85365412	2	1207
85365412	86441395	1	1207
86441395	89226204	2	1207
89226204	89239713	1	1207
89239713	90136012	2	1207
90136012	93633369	1	1207
93633369	95083813	2	1207
95083813	98781969	1	1207
98781969	99375159	2	1207
99375159	100000001	1	1207
0	1063045	1	11408
1063045	2504811	2	11408
2504811	8511258	1	11408
8511258	9264003	2	11408
9264003	10166553	1	11408
10166553	11340838	2	11408
11340838	11468171	1	11408
11468171	11775988	2	11408
11775988	12165798	1	11408
12165798	16213222	2	11408
16213222	17360530	1	11408
17360530	23612715	2	11408
23612715	26829073	1	11408
26829073	33293322	2	11408
33293322	33976655	1	11408
33976655	34301366	2	11408
34301366	34876194	1	11408
34876194	36355534	2	11408
36355534	54921868	1	11408
54921868	56824535	2	11408
56824535	60958313	1	11408
60958313	62286505	2	11408
62286505	68887010	1	11408
68887010	71405188	2	11408
71405188	71596372	1	11408
71596372	72663117	2	11408
72663117	73501232	1	11408
73501232	73924364	2	11408
73924364	76497613	1	11408
76497613	78486922	2	11408
78486922	82806966	1	11408
82806966	86249060	2	11408
86249060	87934701	1	11408
87934701	89140820	2	11408
89140820	91857520	1	11408
91857520	92728617	2	11408
92728617	94556331	1	11408
94556331	95349445	2	11408
95349445	97017215	1	11408
97017215	97418097	2	11408
97418097	98830915	1	11408
98830915	100000001	2	11408
0	268116	2	4518
268116	1365838	1	4518
1365838	4075731	2	4518
4075731	5298937	1	4518
5298937	6579972	2	4518
6579972	7317195	1	4518
7317195	9268683	2	4518
9268683	16419568	1	4518
16419568	23284055	2	4518
23284055	24668028	1	4518
24668028	24946515	2	4518
24946515	28465414	1	4518
28465414	28492789	2	4518
28492789	29131410	1	4518
29131410	29475608	2	4518
29475608	36413326	1	4518
36413326	37785149	2	4518
37785149	39016012	1	4518
39016012	41998759	2	4518
41998759	43062183	1	4518
43062183	44367223	2	4518
44367223	55229906	1	4518
